tail_number,avg_alt,avg_mph,mean_lat,mean_long,flight_count,manufacturer,model,reg_state,log_flight_count
N10000J,20350.0,314.8,34.616820000000004,-118.1982,5,nan,nan,nan,1.791759469228055
N10003,6750.0,460.0,34.723875,-117.982,4,TEXAS HELICOPTER CORP,OH-13H/M74A,nan,1.6094379124341003
N1000XH,14733.333333333334,272.3333333333333,34.585633333333334,-118.302,3,nan,nan,nan,1.3862943611198906
N1000XJ,22300.0,308.0,34.8196,-118.336,1,nan,nan,nan,0.6931471805599453
N1000XK,22150.0,331.0,34.65336666666667,-118.35566666666666,6,nan,nan,nan,1.9459101490553132
N1000XM,13931.25,280.0,34.574375,-118.183,4,nan,nan,nan,1.6094379124341003
N1000YZ,29275.0,460.0,34.5497,-118.19,1,nan,nan,nan,0.6931471805599453
N1000ZD,28450.0,460.0,34.5525,-117.144,1,nan,nan,nan,0.6931471805599453
N1000ZT,26425.0,304.0,34.6306,-118.274,1,nan,nan,nan,0.6931471805599453
N10016C,24450.0,495.0,34.7867,-118.368,1,nan,nan,nan,0.6931471805599453
N10016N,22400.0,456.0,34.5458,-117.896,1,nan,nan,nan,0.6931471805599453
N10019,4158.333333333333,460.0,34.60573333333333,-118.09816666666666,6,GRUMMAN,HU-16B,TEXAS,1.9459101490553132
N100195,12750.0,460.0,34.5531,-117.924,1,nan,nan,nan,0.6931471805599453
N100197,21981.25,460.0,34.693,-118.5205,4,nan,nan,nan,1.6094379124341003
N10019G,25850.0,460.0,34.5375,-117.896,1,nan,nan,nan,0.6931471805599453
N10019K,20608.333333333332,460.0,34.6466,-118.57033333333334,3,nan,nan,nan,1.3862943611198906
N10019X,22100.0,460.0,34.4858,-118.2335,2,nan,nan,nan,1.0986122886681098
N1001DH,15325.0,460.0,34.6181,-117.962,1,nan,nan,nan,0.6931471805599453
N1001EU,8762.5,460.0,34.8644,-117.86449999999999,2,nan,nan,nan,1.0986122886681098
N1001FZ,17912.5,460.0,34.84045,-117.88,2,nan,nan,nan,1.0986122886681098
N1001GC,11050.0,460.0,34.8557,-117.8215,2,nan,nan,nan,1.0986122886681098
N1001GH,22791.666666666668,460.0,34.91213333333334,-117.78933333333333,3,nan,nan,nan,1.3862943611198906
N1001GN,11860.0,460.0,34.82863,-117.93140000000001,10,nan,nan,nan,2.3978952727983707
N1001GX,4387.5,460.0,34.6777,-118.0845,2,nan,nan,nan,1.0986122886681098
N1001NQ,22412.5,460.0,34.56615,-117.73,2,nan,nan,nan,1.0986122886681098
N1001NY,10425.0,460.0,34.7194,-117.924,1,nan,nan,nan,0.6931471805599453
N1001QA,13075.0,460.0,34.7286,-117.836,1,nan,nan,nan,0.6931471805599453
N1001QB,26975.0,460.0,34.3616,-117.672,1,nan,nan,nan,0.6931471805599453
N1001QS,13125.0,460.0,34.7478,-117.762,1,nan,nan,nan,0.6931471805599453
N1001QV,31400.0,460.0,34.4391,-118.595,1,nan,nan,nan,0.6931471805599453
N1001S,11562.5,389.0,34.40835,-118.0955,2,DOUGLAS W TAYLOR,SPARROWHAWK,IOWA,1.0986122886681098
N1001SM,29812.5,486.5,34.9306,-118.4685,2,nan,nan,nan,1.0986122886681098
N1001VM,27800.0,576.0,34.5602,-118.698,1,nan,nan,nan,0.6931471805599453
N1001XA,26925.0,488.0,34.5624,-118.469,0,nan,nan,nan,0.0
N1001XQ,20450.0,359.0,34.6289,-118.545,1,nan,nan,nan,0.6931471805599453
N10024P,17986.363636363636,321.54545454545456,34.659772727272724,-118.12227272727273,11,nan,nan,nan,2.4849066497880004
N10024V,22641.666666666668,309.9166666666667,34.6294,-118.18116666666667,12,nan,nan,nan,2.5649493574615367
N1002A,21650.0,460.0,34.3075,-118.343,1,nan,nan,DIST. OF COL.,0.6931471805599453
N1002BE,8100.0,277.25,34.6394,-118.0605,4,nan,nan,nan,1.6094379124341003
N1002BJ,11675.0,325.0,34.4774,-118.144,1,nan,nan,nan,0.6931471805599453
N1002BV,26325.0,403.0,34.579,-118.172,1,nan,nan,nan,0.6931471805599453
N1002FC,3287.5,460.0,34.636750000000006,-118.07650000000001,2,nan,nan,nan,1.0986122886681098
N1002JY,40075.0,552.0,34.6959,-117.562,1,nan,nan,nan,0.6931471805599453
N1002KP,37700.0,513.0,34.8538,-118.701,1,nan,nan,nan,0.6931471805599453
N1002KQ,37175.0,520.0,34.6244,-118.704,1,nan,nan,nan,0.6931471805599453
N1002KR,23425.0,460.0,34.5646,-118.503,1,nan,nan,nan,0.6931471805599453
N1002KS,4000.0,334.25,34.669425,-118.06275,7,nan,nan,nan,2.0794415416798357
N1003CP,15625.0,465.0,34.4704,-117.712,1,nan,nan,nan,0.6931471805599453
N1003DK,13294.444444444445,388.55555555555554,34.64307777777778,-118.01155555555556,9,nan,nan,nan,2.302585092994046
N1003NW,15212.5,262.5,34.5174,-118.1805,2,nan,nan,nan,1.0986122886681098
N1003NX,8407.5,334.9,34.66728,-118.12539999999998,10,nan,nan,nan,2.3978952727983707
N1003SV,5632.4324324324325,408.8378378378378,34.68864864864865,-118.08332432432431,37,nan,nan,nan,3.6375861597263857
N1003UV,16562.5,392.5,34.686949999999996,-118.3475,2,nan,nan,nan,1.0986122886681098
N10050A,13825.0,391.0,34.6509,-117.887,1,nan,nan,nan,0.6931471805599453
N10051K,14897.368421052632,432.10526315789474,34.6193,-118.17389473684212,19,nan,nan,nan,2.995732273553991
N10054D,6375.0,297.0,34.7269,-118.176,1,nan,nan,nan,0.6931471805599453
N10054W,21650.0,301.3333333333333,34.5846,-118.05733333333335,3,nan,nan,nan,1.3862943611198906
N100554,7062.5,382.875,34.75609583333333,-118.00404166666668,24,nan,nan,nan,3.2188758248682006
N100560,21530.0,460.0,34.60076,-118.146,5,nan,nan,nan,1.791759469228055
N100561,20905.555555555555,460.0,34.61298888888889,-118.29288888888888,9,nan,nan,nan,2.302585092994046
N100567,15387.5,403.0,34.580600000000004,-118.1675,2,nan,nan,nan,1.0986122886681098
N100577,5200.0,403.25,34.639675,-118.04825,4,nan,nan,nan,1.6094379124341003
N1005RW,41975.0,460.0,34.2973,-118.05,1,nan,nan,nan,0.6931471805599453
N1005ZV,10322.222222222223,344.77777777777777,34.60903333333333,-118.108,9,nan,nan,nan,2.302585092994046
N10060Q,23725.0,492.5,34.48325,-118.062,2,nan,nan,nan,1.0986122886681098
N10060Z,4467.307692307692,362.53846153846155,34.653653846153844,-118.07426923076923,26,nan,nan,nan,3.295836866004329
N1006LT,17212.5,417.5,34.6807,-117.88,2,nan,nan,nan,1.0986122886681098
N1006RC,3948.75,363.7,34.655575,-118.07005,20,nan,nan,nan,3.044522437723423
N1006RD,3525.0,170.0,34.6455,-118.044,1,nan,nan,nan,0.6931471805599453
N1006RM,26006.25,511.0,34.861675,-118.42325,4,nan,nan,nan,1.6094379124341003
N1006RN,17360.0,432.8,34.60994,-118.1286,5,nan,nan,nan,1.791759469228055
N1006RP,24125.0,458.0,34.7672,-118.289,1,nan,nan,nan,0.6931471805599453
N1006RT,29000.0,496.3333333333333,34.81283333333334,-118.38366666666667,3,nan,nan,nan,1.3862943611198906
N1006SB,38050.0,509.0,35.0421,-119.122,1,nan,nan,nan,0.6931471805599453
N1006SL,24325.0,470.0,34.5658,-117.989,1,nan,nan,nan,0.6931471805599453
N1007XS,20575.0,397.5,34.67845,-118.13149999999999,2,nan,nan,nan,1.0986122886681098
N1007XU,8000.0,322.0,34.5663,-118.355,1,nan,nan,nan,0.6931471805599453
N1008TQ,9143.75,214.5,34.63525,-117.989,4,nan,nan,nan,1.6094379124341003
N10091H,27750.0,499.5,34.379850000000005,-118.108,2,nan,nan,nan,1.0986122886681098
N10093P,17575.0,419.0,34.391000000000005,-118.169,2,nan,nan,nan,1.0986122886681098
N10095H,7950.0,460.0,34.5706,-118.069,1,nan,nan,nan,0.6931471805599453
N1009UJ,7283.333333333333,460.0,34.61026666666667,-118.12366666666667,3,nan,nan,nan,1.3862943611198906
N1009UK,4225.0,460.0,34.63335,-118.04675,4,nan,nan,nan,1.6094379124341003
N1009ZJ,5750.0,460.0,34.6981,-118.217,2,nan,nan,nan,1.0986122886681098
N100AK,27875.0,460.0,34.3402,-118.403,1,IAI LTD,GULFSTREAM G280,ALASKA,0.6931471805599453
N100CU,19050.0,460.0,34.5496,-118.244,1,DASSAULT-BREGUET,FALCON 10,TEXAS,0.6931471805599453
N100DS,21325.0,460.0,34.5292,-117.902,1,CESSNA,550,OREGON,0.6931471805599453
N100ES,21010.0,453.2,34.61318,-118.01259999999999,5,GULFSTREAM AEROSPACE CORP,GVI (G650ER),CALIFORNIA,1.791759469228055
N100EW,15906.25,428.0,34.61095,-118.07249999999999,4,GULFSTREAM AEROSPACE,GIV-X (G450),NEVADA,1.6094379124341003
N100GG,31975.0,460.0,34.4642,-118.562,1,CESSNA,501,DELAWARE,0.6931471805599453
N100HG,41625.0,460.0,34.54945,-118.1525,2,GULFSTREAM AEROSPACE,G-V,MISSOURI,1.0986122886681098
N100MW,19950.0,460.0,34.6843,-118.138,1,BEECH,E-90,CALIFORNIA,0.6931471805599453
N100PA,9875.0,460.0,34.5943,-118.218,1,ECLIPSE AVIATION CORP,EA500,UTAH,0.6931471805599453
N100RC,20825.0,493.0,34.8038,-118.288,1,EMBRAER EXECUTIVE AIRCRAFT INC,EMB-505,SOUTH DAKOTA,0.6931471805599453
N100UW,15075.0,460.0,34.6447,-118.1365,2,CESSNA,340A,CALIFORNIA,1.0986122886681098
N1010KX,3237.5,460.0,34.64125,-118.072,2,nan,nan,nan,1.0986122886681098
N1010ZX,5051.785714285715,378.0357142857143,34.677817857142855,-118.07392857142858,28,nan,nan,nan,3.367295829986474
N1010ZY,5211.111111111111,376.77777777777777,34.695772222222224,-118.106,18,nan,nan,nan,2.9444389791664403
N1010ZZ,5191.666666666667,374.8095238095238,34.697161904761906,-118.00580952380952,21,nan,nan,nan,3.091042453358316
N1013,40375.0,460.0,34.5222,-118.742,1,BOMBARDIER INC,BD-100-1A10,CALIFORNIA,0.6931471805599453
N1013A,17950.0,414.0,34.4995,-117.775,1,nan,nan,nan,0.6931471805599453
N1013EX,10046.875,363.625,34.6418125,-118.164125,8,nan,nan,nan,2.1972245773362196
N1014U,5525.0,460.0,34.6541,-118.174,1,MOONEY,M20J,CALIFORNIA,0.6931471805599453
N1015W,8975.0,460.0,34.7267,-118.12950000000001,2,BEECH,E-55,CALIFORNIA,1.0986122886681098
N1016B,9375.0,460.0,34.6319,-118.04,1,MOONEY,M20R,CALIFORNIA,0.6931471805599453
